,Year,Cancer
0,2000,1099.5973333333677
1,2001,1144.6877575757826
2,2002,1189.778181818212
3,2003,1234.8686060606415
4,2004,1279.9590303030564
5,2005,1325.0494545454858
6,2006,1370.1398787879007
7,2007,1415.23030303033
8,2008,1460.320727272745
9,2009,1505.4111515151744
10,2010,1550.5015757575893
11,2011,1595.5920000000187
12,2012,1640.6824242424336
13,2013,1685.772848484863
14,2014,1730.863272727278
15,2015,1775.9536969697074
16,2016,1821.0441212121223
17,2017,1866.1345454545517
18,2018,1911.2249696969666
19,2019,1956.315393939396
