OBJECTID,Sample_Date,Latitude,Longitude,MP_conc__particles_cubic_metre_,Normalized
1,2017-10-01,38.33584367,-9.250057761,180,0.515759312
2,2017-10-01,36.79637593,-7.94414174,307,0.87965616
3,2017-10-01,36.70719705,-2.737702628,280,0.802292264
4,2017-10-23,36.11650358,-4.254036244,212,0.607449857
5,2017-10-25,35.39274966,-12.18027817,63,0.180515759
6,2017-11-06,34.39345743,-16.0633012,51,0.146131805
7,2017-11-08,25.68293677,-26.53077932,11,0.031518625
8,2017-11-10,14.51371385,-27.90180986,32,0.091690544
9,2017-11-12,2.020324769,-27.96697122,27,0.077363897
10,2017-11-14,-3.702340255,-30.06770753,16,0.045845272
11,2017-11-16,-20.12873915,-33.22076193,57,0.163323782
12,2017-11-18,-27.91680978,-30.5185462,9,0.025787966
13,2017-11-20,-36.24617949,-16.71753198,11,0.031518625
14,2017-11-22,-37.22834811,1.582325615,24,0.068767908
15,2017-11-25,-35.8139245,16.43256257,12,0.034383954
16,2017-12-11,-37.15194745,22.50793716,46,0.131805158
17,2017-12-14,-40.42323286,45.95171058,2,0.005730659
18,2017-12-16,-43.90001666,64.48861031,21,0.06017192
19,2017-12-18,-44.82147132,80.565496,25,0.071633238
20,2017-12-19,-45.28631869,94.16262726,14,0.040114613
21,2017-12-22,-46.06886071,117.2943717,0,0
22,2017-12-25,-42.3529603,140.3311032,66,0.189111748
23,2017-12-25,-38.51403442,144.1639497,92,0.263610315
24,2018-01-03,-36.47210526,149.8617931,87,0.249283668
25,2018-01-04,-29.62767279,156.6961747,39,0.111747851
26,2018-01-07,-12.41771892,161.9761696,20,0.05730659
27,2018-01-10,-4.56997874,161.4114899,23,0.065902579
28,2018-01-13,3.51620633,156.7594994,11,0.031518625
29,2018-01-16,13.89039555,136.0466733,48,0.137535817
30,2018-01-19,19.35054713,120.8961061,75,0.214899713
31,2018-02-07,21.50771174,119.5476918,349,1
32,2018-02-10,24.83586794,127.8911171,243,0.696275072
33,2018-02-15,8.126695766,153.4172684,101,0.289398281
34,2018-02-17,0.454022486,158.3129752,113,0.323782235
35,2018-02-19,-8.819366311,163.0895851,38,0.108882521
36,2018-02-21,-14.48828936,164.6665189,122,0.349570201
37,2018-02-23,-20.02325827,162.6338972,44,0.126074499
38,2018-02-25,-31.52392294,164.4412256,41,0.11747851
39,2018-02-26,-34.2443115,170.8554419,54,0.154727794
40,2018-02-27,-35.06968228,173.9483313,60,0.171919771
41,2018-03-19,-40.05804017,177.9375402,45,0.128939828
42,2018-03-21,-49.44373874,187.1017505,17,0.048710602
43,2018-03-24,-51.7980743,-138.9304728,26,0.074498567
44,2018-03-25,-53.41744836,-116.8518837,9,0.025787966
45,2018-03-28,-55.72040062,-87.38850533,13,0.037249284
46,2018-03-30,-53.82278898,-61.05756435,57,0.163323782
47,2018-04-12,-46.85957326,-52.61753091,0,0
48,2018-04-02,-41.04622894,-51.84657402,19,0.054441261
49,2018-04-04,-36.20057535,-49.26664583,12,0.034383954
50,2018-04-05,-30.82553317,-47.7509554,95,0.272206304
51,2018-04-23,-26.31673898,-44.39142247,79,0.226361032
52,2018-04-25,-21.66197421,-38.46639475,7,0.020057307
53,2018-04-27,-13.77510437,-35.75750473,24,0.068767908
54,2018-04-29,-3.102326006,-35.67091975,26,0.074498567
55,2018-04-18,2.168275303,-39.07100713,29,0.083094556
56,2018-05-03,11.62650182,-52.57372995,6,0.017191977
57,2018-05-05,25.42964602,-64.80854611,27,0.077363897
58,2018-05-06,31.00444884,-66.51208414,45,0.128939828
59,2018-05-07,36.8217248,-69.07893514,15,0.042979943
60,2018-05-08,40.37856513,-71.15330698,36,0.103151862
61,2018-05-21,40.16178212,-68.30658682,38,0.108882521
62,2018-05-22,39.72930758,-60.8798871,13,0.037249284
63,2018-05-23,41.14987675,-55.66863016,37,0.106017192
64,2018-05-24,44.10315523,-45.90691396,38,0.108882521
65,2018-05-25,47.68200729,-33.53463156,32,0.091690544
66,2018-05-26,51.09788489,-22.0659684,18,0.051575931
67,2018-05-27,51.43792474,-16.71638735,33,0.094555874
68,2018-05-28,50.4787146,-8.854947133,35,0.100286533
69,2018-06-10,51.24332031,-4.689368148,38,0.108882521
70,2018-06-12,52.25195869,-11.08024754,0,0
71,2018-06-13,55.96732924,-10.70255563,20,0.05730659
72,2018-06-14,58.28356717,3.680577289,31,0.088825215
73,2018-06-21,58.35692035,10.13175615,112,0.320916905
74,2018-06-22,57.36290737,11.06547309,63,0.180515759
75,2018-06-24,54.8186422,6.593258225,8,0.022922636
76,2018-07-03,51.05224893,1.548551916,84,0.240687679
77,2018-07-04,50.06847221,-0.751907099,12,0.034383954
78,2018-07-04,49.27245469,-2.569827811,26,0.074498567
79,2018-07-05,48.13621724,-4.685900236,43,0.123209169
80,2018-07-05,45.98629712,-6.709302894,7,0.020057307
81,2018-07-06,44.45224421,-7.960458611,3,0.008595989
82,2018-07-06,42.84524549,-9.086077045,10,0.028653295
83,2018-07-07,41.09737989,-9.139894233,3,0.008595989
84,2018-07-07,39.30482978,-9.404043668,8,0.022922636
