Year,BMI
1975,22.884067936265488
1976,22.988115890763723
1977,23.085029614846
1978,23.194726071988708
1979,23.30617435016581
1980,23.400877558807487
1981,23.48398514895213
1982,23.56423260383882
1983,23.64480570560483
1984,23.72257344213728
1985,23.80965392098939
1986,23.911628937631527
1987,24.015213425325463
1988,24.103119278175193
1989,24.181475573789697
1990,24.269279690867762
1991,24.354420023320245
1992,24.43587249101261
1993,24.517367320856096
1994,24.605193003805446
1995,24.681028792844607
1996,24.750238078772973
1997,24.83356125398633
1998,24.90025366928723
1999,24.971946081021798
2000,25.04639038773923
