Year,Bulgaria,Belarus,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Ecuador,Estonia,France,Germany,Iceland,India,Australia,Ireland,Israel,Italy,Japan,Republic of Korea,Kuwait: Kuwaiti,Latvia,Lithuania,Malta,The Netherlands,New Zealand,Norway,Poland,Slovakia,Slovenia,Spain,Sweden,Switzerland,Brazil,Thailand,Turkey,Uganda,Ukraine,UK,USA
1978,0,7364,0,0,0,0,0,0,0,10162,0,1617,0,0,299,0,0,0,3474,0,0,0,0,0,3314,0,0,0,7212,0,6444,2316,0,15951,0,0,0,0,0,0,80691,93651
1979,0,7650,0,0,0,0,0,0,0,10219,0,1681,0,0,324,0,0,0,3799,0,0,0,0,0,3611,0,0,0,7061,0,6747,2324,0,16301,0,0,0,0,0,0,83088,95971
1980,0,7933,0,0,0,0,0,0,0,10510,0,1724,0,0,325,0,0,0,3905,0,0,0,0,0,3752,0,0,0,7330,0,6854,2359,0,16815,0,0,0,0,0,0,85412,98693
1981,0,8368,0,0,0,0,0,0,0,10391,0,1782,0,0,340,0,0,0,3838,0,0,0,0,0,3723,0,0,0,7642,0,7290,2610,0,16843,0,0,0,0,0,0,87263,102263
1982,0,8792,0,0,0,0,1349,0,0,10655,0,1755,0,0,344,0,25307,0,4041,0,0,0,0,0,3817,0,0,0,7820,0,7551,2553,0,17400,0,0,0,0,0,0,87862,104376
1983,0,9082,32361,0,0,630,1395,0,17307,11031,0,1816,0,0,406,1062,25839,0,3933,0,0,0,0,2717,4158,0,0,5319,7977,0,7684,2577,0,17789,0,0,0,0,0,0,89560,107327
1984,0,9524,33934,0,0,620,1405,0,17532,10889,0,1915,0,0,356,1083,26947,0,4388,0,0,0,0,2904,4146,0,0,5335,8089,0,7971,2677,0,18308,0,0,0,0,0,0,89229,109962
1985,0,10019,34867,0,0,582,1375,0,17656,11049,470,2002,0,0,392,1116,28184,0,4525,0,0,0,0,2951,3935,0,0,5199,8229,0,8079,2641,0,18370,0,0,0,0,0,0,94375,113647
1986,0,10723,35699,0,0,645,1382,0,17853,10921,473,1955,0,0,389,1227,28546,0,4550,0,0,0,0,3007,4489,0,0,5393,8416,0,8221,2762,0,18390,0,0,0,0,0,0,92395,115912
1987,0,11308,37344,0,0,834,1371,0,18794,11503,456,2098,0,0,409,1319,30217,0,4703,0,0,0,0,3251,4477,0,0,5572,8258,0,8455,2723,0,18941,0,0,0,0,0,0,94280,123170
1988,0,11863,38695,0,18957,805,1414,7971,19000,11543,501,2182,9721,0,421,1505,31086,0,4959,4427,21403,0,0,3286,4551,0,0,5959,8423,0,8853,2854,0,18945,0,0,0,0,0,0,97137,124437
1989,0,12400,39294,0,19485,838,1531,8036,19403,11228,547,2177,10263,0,465,1463,32396,0,5447,4880,22469,0,0,3254,4221,0,28342,5992,8805,0,8630,3046,0,19027,0,0,0,0,0,0,95848,127779
1990,0,12641,41090,0,20036,955,1485,8377,19235,11101,499,2247,10711,0,446,1495,34051,0,6145,5012,23324,0,0,3454,4634,0,28787,5895,9020,0,8516,3032,0,18621,0,0,0,0,0,0,97490,135688
1991,0,13370,43279,0,19875,929,1599,7421,20350,11301,493,2389,10588,0,451,1551,35403,0,6509,5454,23573,0,0,3472,4848,0,29541,5937,9053,0,8896,3129,0,19279,0,0,0,0,287,0,98901,148245
1992,0,13917,45543,0,20379,989,1623,7787,20424,11595,608,2434,11480,0,435,1573,37644,0,7107,5597,24591,0,0,3619,4894,456,30689,6292,9601,0,9007,3350,0,19398,0,0,0,0,355,0,102178,156608
1993,10825,14131,47662,0,19674,982,1637,8376,20738,11543,563,2547,11674,0,413,1575,41267,0,7468,6656,25824,0,0,3402,5560,513,30870,6878,9800,0,9075,3417,15478,19819,0,490,3207,0,411,0,102900,150520
1994,10883,14735,47213,0,19907,1102,1851,8183,21299,11766,602,2412,11655,0,494,1626,44211,6275,7998,6854,26949,0,0,3478,5506,578,32081,8144,9878,0,9113,3476,16107,20069,0,528,3253,0,345,0,105008,144660
1995,10990,14755,45995,0,19865,1192,2137,8852,21568,11505,596,2574,12063,0,522,1684,43855,6192,8504,6936,27951,0,0,3603,5615,576,32549,8541,9970,0,9067,3594,16505,19427,0,623,3155,0,400,0,104266,142890
1996,11665,15347,47146,0,20673,1139,2258,8743,23063,11692,640,2622,12463,0,522,1700,43112,6335,8391,7407,28418,0,0,3654,5907,564,33245,8420,10181,0,9421,3501,17339,19629,0,734,3341,0,389,0,104570,144008
1997,11350,15464,48577,0,21078,1306,2241,9047,22975,12024,741,2599,12659,0,562,1782,43454,6547,8801,7233,28939,0,0,3655,5965,587,32974,8256,10427,0,9576,3914,18198,19931,0,838,3403,0,416,0,107371,146963
1998,14066,15778,50241,360,21222,1362,2492,8653,23230,12401,779,2650,13075,7586,539,1815,43773,6665,9402,7580,30290,0,231,3971,6018,577,33288,8785,10696,2108,9661,3962,18544,20450,5631,829,3389,3550,422,0,107713,148462
1999,13626,15513,52764,422,21703,1495,2729,11557,23365,12606,708,2607,13481,7765,543,1922,45106,6830,9466,7911,31017,24766,217,3999,6259,584,33742,8992,10754,2501,9441,4089,19604,21583,5614,839,3357,3887,378,0,109908,152411
2000,13906,15416,53799,417,22152,1557,2651,10745,23363,12824,813,2641,14143,7632,554,1997,46538,7182,9783,7941,32203,24544,280,3946,6274,565,34200,9511,10888,2585,9746,4109,20140,21562,5748,882,3501,4782,454,0,113102,154664
2001,13610,15582,56009,419,22430,1684,2889,10588,23672,12897,924,2678,14496,7598,608,1982,47897,7481,10460,8375,32799,27392,300,4040,6608,613,34489,9546,11022,2470,9655,4324,20861,22018,6025,965,3861,5021,405,0,115433,157378
2002,14012,15420,55098,423,22795,1667,2892,10938,24978,13256,970,2737,15398,8267,554,2034,49696,7896,10414,8472,33040,27889,265,4123,6983,637,35522,9369,11000,2680,10105,4430,21352,22531,6142,1037,4009,5437,446,0,114654,157815
2003,14449,15586,55603,468,22566,1756,3272,10896,25762,13725,989,2889,16207,8115,628,2142,51458,7925,10938,9104,35691,28914,298,4177,7400,651,36903,9714,11937,2462,10285,4496,22231,23760,6236,1041,3865,5826,479,71851,115079,156315
2004,14967,16473,57693,462,23882,1802,3255,10741,26433,14915,975,3102,17518,8216,716,2179,54912,8583,11340,9200,36345,30645,279,4552,7536,648,39367,9749,12621,2465,10793,4884,23652,25039,6583,1296,4022,6307,587,72634,120193,159456
2005,15128,16116,59209,448,23603,1916,3297,11582,27465,15491,1164,2943,17614,8332,622,2282,56762,8478,11596,9207,38040,33384,319,4624,7430,754,39238,9383,12532,2491,10949,4801,23501,25021,6581,1453,4103,6741,560,72611,120893,159633
2006,15227,16319,61467,507,24380,2066,3229,11217,27161,16018,1130,3347,17669,8444,749,2355,58786,8810,12085,9738,40229,34824,361,4673,8758,747,40531,9587,12761,2317,11238,5077,23834,24738,6603,1566,4198,7266,638,71410,125426,163401
2007,15710,16971,63965,458,24404,2050,3429,11454,27941,16617,1186,3360,18094,8593,723,2476,61857,9470,12672,9547,42569,37047,295,4622,9420,731,41829,10221,13652,2337,11326,5285,24686,24361,6916,1505,4366,7783,677,70960,126673,170981
2008,16232,17407,63968,496,25857,1966,3607,11539,28494,17436,1256,3346,17835,8769,768,2513,64239,9728,12452,9530,42781,40045,380,4464,9262,860,43280,10333,13835,2428,12074,5545,25338,24731,7036,1619,4304,7981,664,71034,130207,169285
2009,16078,17771,65006,476,26542,2037,3735,12143,29562,18019,1155,3416,17716,8921,749,2601,65867,10240,12409,9636,44893,42904,440,4667,8716,862,44420,10997,14083,2553,12521,5709,25748,27056,7096,1525,4497,8170,756,70561,137250,171730
2010,15607,18275,65170,450,27094,2088,3868,11896,30724,17674,1323,3631,17707,8743,708,2582,65870,10574,12665,9542,46729,44973,426,4999,8261,953,45845,10930,14282,2592,13027,5870,26170,26786,7292,1653,4916,8357,696,72327,138577,171457
2011,16479,18688,67953,505,27299,2088,3537,11999,30321,18360,1454,3757,18011,8911,725,2665,66985,11084,12444,9343,0,47750,404,4996,8397,939,47694,10902,15322,2513,0,6102,0,27303,7332,1549,5215,8520,670,73151,141227,170935
2012,17278,18718,66554,468,27826,2130,0,11910,30439,18819,1468,3665,14409,8389,755,2694,68456,11076,12969,9096,0,48492,459,4915,8382,858,47183,11215,15634,2630,0,5951,0,26530,7366,1498,5366,8595,744,74351,145904,165246
2013,17327,0,0,0,0,0,0,0,29980,18670,0,0,0,0,760,0,68099,0,0,0,0,0,0,0,0,987,46155,0,15681,0,0,0,0,28116,0,0,0,0,763,69979,150766,166046
