Label,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bulgaria,3177,3463,3414,3605,3635,3640,3670,3625,3754,3743,3617,3852,3821,3872,0
Belarus,2725,2900,3051,3163,3367,3284,3321,3480,3507,3646,3783,3766,3802,-,
Canada*,13702,13922,14618,14082,14544,14992,15266,15689,16020,16755,17455,17934,17638,-,
Chile*,63,64,69,68,74,74,77,84,74,74,66,112,79,-,
China*,3639,3884,3927,4058,4486,4498,4789,4791,4972,5266,5390,5934,6110,-,
Colombia*,434,489,486,497,478,546,599,622,628,559,576,602,607,-,
Costa Rica,593,632,633,699,744,759,799,844,913,907,972,1051,-,-,
Croatia,2068,2300,2110,2312,2222,2363,2286,2700,2591,2524,2633,2543,2594,-,
Czechia,4916,5121,5432,5827,5633,5564,5839,6488,6308,5853,6414,6376,6617,6778,
Denmark,3721,3820,4055,3902,3898,3955,4138,4132,4787,5760,5082,4629,4555,4747,
Ecuador*,203,211,198,223,229,288,280,289,273,256,306,354,371,-,
Estonia,539,589,609,619,627,576,612,681,651,620,703,729,709,-,
France*,3842,4037,4210,4459,4574,4433,4413,4392,4668,4585,4759,4927,3941,-,
Germany*,2110,2167,2330,2128,2093,2094,2244,2321,2482,2751,2659,2522,2468,-,
Iceland,171,147,150,158,168,171,173,182,206,207,208,215,215,205,
India*,468,541,572,620,676,716,696,697,699,746,813,851,893,-,
Australia,11421,11852,12109,11886,12229,12303,12739,12684,13694,13824,14412,14580,15358,16449,16972
Ireland,1906,2036,2180,2229,2191,2212,2268,2494,2810,2767,2743,2847,2867,-,
Israel,3375,3268,3428,3289,3385,3486,3462,3615,3707,3817,3895,3921,4155,-,
Italy*,1992,1954,1937,2077,2052,1998,2112,2114,2394,2314,2436,2484,2423,-,
Japan*,3868,3947,4026,4275,4565,4908,5258,5868,5648,5892,6526,-,-,-,
Republic of Korea,3138,3747,4238,4409,4793,5162,5468,5992,6469,6857,7357,7930,8085,-,
Kuwait: Kuwaiti,114,103,135,132,142,177,166,174,188,230,248,230,251,-,
Latvia,933,904,952,926,1037,959,1061,1048,1055,937,1064,1227,1094,-,
Lithuania,1317,1257,1220,1363,1307,1326,1431,1368,1536,1524,1476,1541,1519,-,
Malta,214,201,197,220,221,258,257,264,247,305,318,336,302,301,
The Netherlands,11291,11779,11737,11925,12227,12188,12663,13112,13335,13545,13602,14374,14645,14694,
New Zealand,2322,2311,2366,2335,2349,2486,2571,2577,2728,2773,2799,2871,3032,-,
Norway,2506,2608,2695,2706,2776,2801,2707,2715,2732,2725,2840,3072,2937,3184,
Poland*,440,450,460,403,386,424,415,418,425,481,429,487,489,-,
Slovakia,1823,1807,1902,1980,2120,2160,2271,2355,2525,2678,2672,-,-,-,
Slovenia,961,1001,1058,1106,1108,1111,1144,1173,1165,1139,1278,1160,1294,-,
Spain*,3732,3772,4039,4053,4081,4153,4300,4457,4622,4825,4879,-,-,-,
Sweden,5914,6020,6132,6358,6377,6318,6341,6317,6422,6450,6869,7133,7043,7257,
Switzerland*,1741,1747,1717,1759,1783,1767,1880,1822,1874,1949,2006,2072,2002,-,
Brazil*,279,254,294,325,347,332,336,370,365,394,369,351,397,-,
Thailand*,572,602,609,695,729,783,802,840,925,915,994,1053,1075,-,
Turkey*,851,893,1025,1052,1139,1188,1280,1315,1568,1525,1517,1669,1694,-,
Uganda*,75,72,53,81,105,85,104,108,114,108,148,123,165,163,
Ukraine,-,-,-,16010,16292,16707,16369,16497,16759,16551,17574,17633,17914,16624,
"UK, England and Wales *",33900,34416,34259,36136,36178,37072,36927,36877,38198,38520,39500,39633,40475,42084,46085
"UK, Scotland",3498,3405,3514,3645,3761,3848,3922,3923,4041,4164,4187,4315,4357,4385,
"UK, Northern Ireland ",946,920,951,1029,1132,1060,970,1141,1145,1196,1167,1245,1272,1209,
USA*,23101,23597,23555,22170,22681,22948,22955,23541,24011,24757,24469,25586,25782,26239,26554
USA: White*,19062,19386,19149,17863,18041,18344,18144,18477,18686,19335,18935,19667,19644,19874,20115
USA: Black*,2129,2081,2217,2230,2337,2269,2413,2484,2545,2617,2589,2802,2895,2878,
