Year,Month,Pieces_KM2
2000,April,666905
2000,August,16760
2000,December,137288
2000,February,177015
2000,January,1620
2000,July,38098
2000,June,2611523
2000,March,102364
2000,May,247997
2000,November,92959
2000,October,334114
2000,September,0
2001,April,978703
2001,August,17128
2001,December,17564
2001,February,79716
2001,January,120062
2001,July,127786
2001,June,127429
2001,March,102218
2001,May,989846
2001,November,83997
2001,October,592906
2001,September,9165
2002,April,224663
2002,August,30459
2002,December,35821
2002,February,135235
2002,January,44536
2002,July,13487
2002,June,20039
2002,March,87949
2002,May,1723273
2002,November,15807
2002,October,258499
2002,September,4860
2003,April,168331
2003,August,9929
2003,December,171460
2003,February,269161
2003,January,3690
2003,July,348868
2003,June,32117
2003,March,21934
2003,May,678031
2003,November,58675
2003,October,166842
2004,April,114048
2004,August,23333
2004,December,58894
2004,February,145839
2004,January,5197
2004,July,2700
2004,June,1215
2004,March,43437
2004,May,1170356
2004,November,16401
2004,October,1077783
2004,September,16997
2005,April,492552
2005,August,15710
2005,December,0
2005,February,178457
2005,January,1851
2005,July,26865
2005,June,113368
2005,March,127329
2005,May,679585
2005,November,9964
2005,October,809971
2005,September,19416
2006,April,87401
2006,August,1620
2006,December,39005
2006,February,78443
2006,July,7885
2006,June,32629
2006,March,62016
2006,May,540
2006,November,18419
2006,October,181511
2006,September,1080
2007,April,249850
2007,August,8640
2007,December,118155
2007,February,41451
2007,January,24150
2007,July,20325
2007,June,70791
2007,March,53933
2007,May,727391
2007,November,1990
2007,October,317046
2007,September,5596
2008,April,162131
2008,August,14603
2008,December,8067
2008,February,15411
2008,January,1515
2008,July,11796
2008,June,1221
2008,March,11034
2008,May,50856
2008,November,8655
2008,October,25498
2008,September,4835
2009,April,0
2009,August,0
2009,December,0
2009,February,0
2009,July,0
2009,June,0
2009,March,0
2009,May,0
2009,November,0
2009,October,0
2009,September,0
2010,August,0
2010,December,0
2010,July,0
2010,June,0
2010,November,0
2010,October,0
2011,April,0
2011,August,0
2011,December,0
2011,February,0
2011,January,0
2011,July,0
2011,June,0
2011,March,0
2011,May,0
2011,November,0
2011,October,0
2012,April,41442
2012,August,2727
2012,December,13857
2012,February,0
2012,January,0
2012,July,1216230
2012,June,335131
2012,March,0
2012,May,81315
2012,November,1795920
2012,October,37861974
2012,September,0
